Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
435,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English
436,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English
437,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English
438,45,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English
439,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English
440,64,Male,Black,Nigeria,United States,NaN,English
441,39,Female,White,Germany,United Kingdom,Germany,German
442,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
443,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English
444,NaN,NaN,NaN,NaN,NaN,NaN,NaN
445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
